,availability,location,total_sqft,bath,price,bhk,encoded_location,encoded_availability
91,Ready To Move,Jigani,600.0,5,50.0,5,44,7
92,Ready To Move,Kumaraswami Layout,1270.0,4,128.0,5,57,7
93,Ready To Move,Yelahanka,1200.0,4,140.0,5,97,7
94,Ready To Move,Thyagaraja Nagar,700.0,4,110.0,4,87,7
95,Ready To Move,other,1200.0,5,185.0,5,99,7
96,Ready To Move,Thanisandra,750.0,4,62.0,5,86,7
97,Ready To Move,Bommenahalli,832.0,3,77.0,3,24,7
98,Ready To Move,other,1196.0,3,150.0,4,99,7
99,Ready To Move,Vishwapriya Layout,600.0,3,73.0,4,95,7
100,Ready To Move,5th Block Hbr Layout,1200.0,6,220.0,5,1,7
101,Ready To Move,other,600.0,4,110.0,3,99,7
102,Ready To Move,Seegehalli,1200.0,5,120.0,5,80,7
103,Ready To Move,Sector 2 HSR Layout,1200.0,4,160.0,5,78,7
104,Ready To Move,other,600.0,5,85.0,4,99,7
105,Ready To Move,Begur Road,800.0,5,95.0,5,20,7
106,Ready To Move,Hoodi,780.0,3,62.0,3,34,7
107,Ready To Move,Yelachenahalli,897.0,2,85.0,5,96,7
108,Ready To Move,Marathahalli,800.0,4,86.0,4,62,7
109,Ready To Move,Kanakpura Road,1080.0,6,65.0,5,49,7
110,Ready To Move,other,971.0,2,135.0,4,99,7
111,18-Apr,Vidyaranyapura,600.0,3,78.0,4,92,2
112,Ready To Move,Sahakara Nagar,1200.0,5,160.0,5,75,7
113,Ready To Move,other,1150.0,3,110.0,4,99,7
114,Ready To Move,Ramamurthy Nagar,850.0,2,65.0,4,73,7
115,Ready To Move,Abbigere,1200.0,4,98.0,5,6,7
116,Ready To Move,Akshaya Nagar,750.0,4,62.0,4,7,7
117,Ready To Move,other,1200.0,4,120.0,5,99,7
118,Ready To Move,other,910.0,4,140.0,4,99,7
119,Ready To Move,other,580.0,2,95.0,2,99,7
120,Ready To Move,other,720.0,4,62.0,5,99,7
121,Ready To Move,Jalahalli,600.0,3,60.0,3,42,7
122,Ready To Move,TC Palaya,1440.0,5,100.0,5,85,7
123,Ready To Move,other,600.0,3,54.0,3,99,7
124,Ready To Move,other,1150.0,4,110.0,4,99,7
125,Ready To Move,Yelachenahalli,900.0,2,115.0,4,96,7
126,Ready To Move,Sanjay nagar,1200.0,4,185.0,5,76,7
127,Ready To Move,Banashankari,500.0,5,92.0,5,11,7
128,Ready To Move,Anandapura,640.0,3,45.0,3,9,7
129,Ready To Move,Kammanahalli,540.0,3,60.0,3,48,7
130,Ready To Move,other,750.0,4,85.0,4,99,7
131,Ready To Move,Margondanahalli,555.0,1,37.0,2,63,7
132,Ready To Move,2nd Stage Nagarbhavi,600.0,3,95.0,4,0,7
133,Ready To Move,Jalahalli East,720.0,4,48.0,4,43,7
134,Ready To Move,other,900.0,4,75.0,4,99,7
135,Ready To Move,OMBR Layout,600.0,3,100.0,3,69,7
136,Ready To Move,other,1100.0,5,121.0,4,99,7
137,Ready To Move,Banjara Layout,1200.0,5,96.0,5,15,7
138,Ready To Move,other,660.0,2,100.0,3,99,7
139,Ready To Move,Vidyaranyapura,462.0,3,38.0,3,92,7
140,Ready To Move,Indira Nagar,1000.0,5,180.0,5,40,7
141,Ready To Move,2nd Stage Nagarbhavi,600.0,4,100.0,3,0,7
142,Ready To Move,Yelahanka,1200.0,5,162.0,5,97,7
143,Ready To Move,Shampura,920.0,2,90.0,4,81,7
144,Ready To Move,other,600.0,3,90.0,3,99,7
145,Ready To Move,Mallasandra,600.0,2,50.0,4,60,7
146,Ready To Move,other,906.0,3,55.0,4,99,7
147,Ready To Move,other,1200.0,4,130.0,5,99,7
148,Ready To Move,Ramamurthy Nagar,800.0,4,88.0,3,73,7
149,Ready To Move,other,800.0,2,80.0,3,99,7
150,Ready To Move,other,600.0,5,75.0,4,99,7
151,Ready To Move,other,600.0,2,85.0,3,99,7
152,Ready To Move,other,875.0,5,120.0,5,99,7
153,Ready To Move,Kengeri,600.0,3,90.0,3,52,7
154,Ready To Move,Hulimavu,1200.0,5,101.0,5,39,7
155,Ready To Move,Banashankari Stage II,500.0,2,55.0,2,12,7
156,Ready To Move,Shampura,672.0,3,54.0,4,81,7
157,Ready To Move,other,396.0,2,48.0,3,99,7
158,Ready To Move,other,600.0,4,76.0,5,99,7
159,Ready To Move,other,1200.0,4,115.0,5,99,7
160,Ready To Move,other,1200.0,5,99.0,5,99,7
161,Ready To Move,other,1050.0,4,80.0,5,99,7
162,Ready To Move,Mahalakshmi Layout,1200.0,5,200.0,5,59,7
163,Ready To Move,other,600.0,4,81.0,3,99,7
164,Ready To Move,TC Palaya,600.0,4,65.0,4,85,7
165,Ready To Move,Vidyaranyapura,750.0,4,88.0,4,92,7
166,Ready To Move,Banashankari Stage II,1050.0,3,125.0,4,12,7
167,Ready To Move,other,900.0,3,51.0,4,99,7
168,Ready To Move,other,1050.0,4,90.0,4,99,7
169,Ready To Move,other,800.0,3,120.0,3,99,7
170,Ready To Move,Hoskote,900.0,5,110.0,5,38,7
171,Ready To Move,Kammanahalli,900.0,4,150.0,4,48,7
172,Ready To Move,Vishveshwarya Layout,600.0,4,99.0,3,94,7
173,Ready To Move,other,800.0,3,60.0,3,99,7
174,Ready To Move,other,1000.0,5,140.0,5,99,7
175,Ready To Move,other,882.0,3,72.0,4,99,7
176,Ready To Move,other,600.0,3,65.0,3,99,7
177,Ready To Move,Banashankari Stage III,1200.0,5,180.0,5,13,7
178,Ready To Move,other,800.0,4,98.0,5,99,7
179,Ready To Move,Kammanahalli,600.0,2,50.0,3,48,7
180,Ready To Move,other,646.0,2,65.0,3,99,7
181,Ready To Move,Vishwapriya Layout,690.0,4,83.0,5,95,7
182,Ready To Move,Amruthahalli,600.0,4,60.0,4,8,7
183,Ready To Move,other,600.0,3,100.0,4,99,7
184,Ready To Move,Vidyaranyapura,1200.0,5,139.0,5,92,7
185,Ready To Move,Hosa Road,675.0,3,70.0,3,36,7
186,Ready To Move,Tindlu,720.0,3,81.0,3,88,7
187,Ready To Move,other,1008.0,4,180.0,5,99,7
188,Ready To Move,other,800.0,2,52.0,3,99,7
189,Ready To Move,other,1050.0,4,90.0,4,99,7
190,18-May,Giri Nagar,1120.0,4,175.0,4,30,5
191,Ready To Move,Ramamurthy Nagar,1350.0,5,120.0,5,73,7
192,Ready To Move,Rajaji Nagar,900.0,4,140.0,5,72,7
193,Ready To Move,Subramanyapura,600.0,3,69.0,3,83,7
194,Ready To Move,Vishveshwarya Layout,600.0,4,85.0,4,94,7
195,Ready To Move,other,1140.0,3,145.0,4,99,7
196,Ready To Move,other,1200.0,6,86.0,5,99,7
197,18-Apr,other,600.0,4,87.0,4,99,2
198,Ready To Move,Hoodi,1100.0,4,120.0,4,34,7
199,Ready To Move,other,600.0,3,70.0,3,99,7
200,18-May,Yelachenahalli,900.0,2,115.0,4,96,5
201,Ready To Move,other,600.0,4,100.0,3,99,7
202,Ready To Move,KR Puram,960.0,4,80.0,4,46,7
203,Ready To Move,other,1200.0,3,95.0,5,99,7
204,Ready To Move,other,750.0,2,42.0,4,99,7
205,Ready To Move,Billekahalli,1180.0,5,98.5,5,21,7
206,Ready To Move,Ramamurthy Nagar,945.0,5,120.0,4,73,7
207,Ready To Move,Nagarbhavi,800.0,3,95.0,3,66,7
208,18-Apr,Nagarbhavi,600.0,5,95.0,4,66,2
209,Ready To Move,Banashankari Stage VI,600.0,4,90.0,3,14,7
210,Ready To Move,other,780.0,3,75.0,3,99,7
211,Ready To Move,Ulsoor,1200.0,4,150.0,5,90,7
212,Ready To Move,other,1200.0,3,180.0,5,99,7
213,18-Feb,other,750.0,4,95.0,4,99,3
214,Ready To Move,Ramamurthy Nagar,960.0,2,138.0,4,73,7
215,18-May,Banashankari Stage VI,600.0,3,90.0,3,14,5
216,Ready To Move,other,1000.0,4,90.0,5,99,7
217,Ready To Move,Sarjapur  Road,1200.0,4,95.0,5,77,7
218,Ready To Move,9th Phase JP Nagar,1200.0,5,160.0,5,5,7
219,Ready To Move,Vishwapriya Layout,720.0,3,95.0,4,95,7
220,Ready To Move,other,860.0,4,125.0,4,99,7
221,Ready To Move,Sarjapur  Road,1480.0,4,169.0,5,77,7
222,Ready To Move,other,400.0,2,35.0,4,99,7
223,Ready To Move,other,900.0,6,95.0,5,99,7
224,Ready To Move,Nagasandra,600.0,4,80.0,4,67,7
225,Ready To Move,Jalahalli,1000.0,4,90.0,4,42,7
226,Ready To Move,other,1200.0,4,150.0,5,99,7
227,Ready To Move,other,360.0,2,40.0,2,99,7
228,Ready To Move,other,360.0,4,37.0,4,99,7
229,17-Aug,other,1050.0,3,85.0,4,99,0
230,Ready To Move,Kenchenahalli,480.0,3,65.0,3,51,7
231,Ready To Move,other,1200.0,5,90.0,5,99,7
232,Ready To Move,Vijayanagar,750.0,4,95.0,5,93,7
233,Ready To Move,Rajaji Nagar,432.0,2,65.0,2,72,7
234,Ready To Move,Sahakara Nagar,1000.0,5,130.0,5,75,7
235,Ready To Move,other,600.0,4,77.0,4,99,7
236,Ready To Move,Electronic City Phase II,545.0,1,29.0,2,29,7
237,Ready To Move,other,497.0,1,25.0,2,99,7
238,Ready To Move,other,750.0,4,120.0,4,99,7
239,Ready To Move,other,720.0,3,48.0,3,99,7
240,Ready To Move,Banashankari Stage III,1050.0,3,147.0,4,13,7
241,Ready To Move,Mysore Road,540.0,4,85.0,4,64,7
242,Ready To Move,other,600.0,2,85.0,3,99,7
243,Ready To Move,9th Phase JP Nagar,600.0,3,79.0,3,5,7
244,Ready To Move,other,720.0,4,95.0,4,99,7
245,Ready To Move,other,950.0,5,55.0,5,99,7
246,Ready To Move,Chandapura,1200.0,3,79.0,5,26,7
247,Ready To Move,other,612.0,3,47.0,4,99,7
248,Ready To Move,Varthur,1000.0,4,65.0,5,91,7
249,Ready To Move,Electronic City,717.0,5,78.0,5,28,7
250,Ready To Move,9th Phase JP Nagar,600.0,3,85.0,3,5,7
251,Ready To Move,Kodigehalli,500.0,1,55.0,2,54,7
252,Ready To Move,other,500.0,2,75.0,3,99,7
253,Ready To Move,other,750.0,3,95.0,5,99,7
254,Ready To Move,Begur Road,1100.0,5,165.0,5,20,7
255,Ready To Move,other,600.0,6,72.0,5,99,7
256,Ready To Move,other,600.0,4,60.0,4,99,7
257,18-Mar,other,800.0,5,95.0,5,99,4
258,Ready To Move,other,857.0,3,95.0,3,99,7
259,Ready To Move,Thyagaraja Nagar,570.0,5,80.0,5,87,7
260,Ready To Move,Kodigehalli,600.0,3,85.0,4,54,7
261,Ready To Move,Nagarbhavi,600.0,3,77.0,4,66,7
262,Ready To Move,Basaveshwara Nagar,700.0,4,125.0,4,18,7
263,Ready To Move,Yeshwanthpur,570.0,2,62.0,2,98,7
264,Ready To Move,Kengeri Satellite Town,1200.0,5,70.0,5,53,7
265,Ready To Move,other,1035.0,5,170.0,5,99,7
266,Ready To Move,Kengeri Satellite Town,936.0,2,60.84,4,53,7
267,Ready To Move,Padmanabhanagar,610.0,2,75.0,3,70,7
268,18-Mar,Banashankari Stage VI,600.0,3,97.0,4,14,4
269,Ready To Move,other,800.0,5,95.0,5,99,7
270,Ready To Move,TC Palaya,1400.0,5,97.0,5,85,7
271,Ready To Move,other,1200.0,4,115.0,5,99,7
272,Ready To Move,other,702.0,4,65.0,4,99,7
273,Ready To Move,Banjara Layout,610.0,3,60.0,3,15,7
274,Ready To Move,other,900.0,5,135.0,5,99,7
275,Ready To Move,other,675.0,3,75.0,3,99,7
276,Ready To Move,Magadi Road,800.0,4,60.0,4,58,7
277,Ready To Move,other,420.0,1,25.0,2,99,7
278,Ready To Move,NRI Layout,800.0,5,95.5,4,65,7
279,Ready To Move,Banashankari Stage VI,600.0,5,105.0,4,14,7
280,Ready To Move,other,1200.0,5,138.0,5,99,7
281,Ready To Move,Ramamurthy Nagar,900.0,4,70.0,4,73,7
282,Ready To Move,Hosa Road,900.0,5,55.0,5,36,7
283,Ready To Move,other,875.0,4,150.0,4,99,7
284,Ready To Move,other,600.0,4,65.0,4,99,7
285,Ready To Move,Magadi Road,1200.0,4,130.0,5,58,7
286,Ready To Move,Kumaraswami Layout,623.0,4,75.0,4,57,7
287,Ready To Move,2nd Stage Nagarbhavi,600.0,3,84.0,4,0,7
288,Ready To Move,Rayasandra,1200.0,3,65.0,5,74,7
289,Ready To Move,TC Palaya,1440.0,5,97.0,5,85,7
290,Ready To Move,other,1200.0,4,160.0,5,99,7
291,Ready To Move,other,1018.0,4,150.0,4,99,7
292,Ready To Move,Malleshwaram,302.0,2,25.0,2,61,7
293,Ready To Move,Kumaraswami Layout,600.0,2,72.0,4,57,7
294,Ready To Move,Ulsoor,450.0,3,70.0,3,90,7
295,Ready To Move,other,1125.0,3,126.0,4,99,7
296,Ready To Move,2nd Stage Nagarbhavi,600.0,3,82.0,4,0,7
297,Ready To Move,Kanakpura Road,800.0,5,115.0,4,49,7
298,Ready To Move,5th Block Hbr Layout,1200.0,5,205.0,5,1,7
299,Ready To Move,other,1356.0,5,139.0,5,99,7
300,17-Aug,KR Puram,1200.0,5,125.0,5,46,0
301,Ready To Move,OMBR Layout,615.0,4,110.0,4,69,7
302,Ready To Move,other,1200.0,4,99.0,5,99,7
303,Ready To Move,other,800.0,2,60.0,3,99,7
304,Ready To Move,Bommasandra,1400.0,6,252.0,5,23,7
305,Ready To Move,other,600.0,4,70.0,4,99,7
306,Ready To Move,other,1200.0,6,140.0,5,99,7
307,Ready To Move,other,1200.0,6,110.0,5,99,7
308,Ready To Move,other,750.0,4,90.0,4,99,7
309,Ready To Move,Thyagaraja Nagar,750.0,4,125.0,4,87,7
310,Ready To Move,Basaveshwara Nagar,1200.0,3,180.0,5,18,7
311,Ready To Move,other,600.0,3,95.0,4,99,7
312,Ready To Move,Vidyaranyapura,1000.0,4,120.0,4,92,7
313,Ready To Move,Anandapura,850.0,3,63.0,3,9,7
314,Ready To Move,other,600.0,3,90.0,3,99,7
315,Ready To Move,other,750.0,3,88.0,5,99,7
316,Ready To Move,Ramamurthy Nagar,886.0,4,120.0,4,73,7
317,Ready To Move,other,350.0,3,45.0,4,99,7
318,Ready To Move,other,875.0,3,115.0,3,99,7
319,Ready To Move,other,1000.0,4,80.0,5,99,7
320,Ready To Move,other,1200.0,5,85.0,5,99,7
321,Ready To Move,other,760.0,4,95.0,3,99,7
322,Ready To Move,other,1200.0,5,130.0,5,99,7
323,Ready To Move,Kengeri Satellite Town,650.0,2,58.0,4,53,7
324,Ready To Move,other,600.0,4,70.0,3,99,7
325,Ready To Move,Tumkur Road,1100.0,2,60.0,4,89,7
326,Ready To Move,JP Nagar,600.0,5,110.0,4,41,7
327,Ready To Move,Ananth Nagar,600.0,3,62.0,4,10,7
328,Ready To Move,5th Block Hbr Layout,1200.0,5,205.0,5,1,7
329,Ready To Move,Horamavu Banaswadi,675.0,4,68.0,4,35,7
330,Ready To Move,Nagarbhavi,600.0,4,78.0,4,66,7
331,Ready To Move,5th Phase JP Nagar,1000.0,4,130.0,4,2,7
332,Ready To Move,other,900.0,4,62.0,5,99,7
333,Ready To Move,other,600.0,3,86.0,3,99,7
334,Ready To Move,Electronic City Phase II,545.0,1,28.0,2,29,7
335,Ready To Move,other,1200.0,4,200.0,5,99,7
336,Ready To Move,Judicial Layout,1100.0,4,199.0,5,45,7
337,Ready To Move,8th Phase JP Nagar,600.0,5,99.0,4,4,7
338,Ready To Move,CV Raman Nagar,1200.0,2,100.0,5,25,7
339,Ready To Move,Vidyaranyapura,770.0,3,65.25,4,92,7
340,Ready To Move,Nagarbhavi,600.0,3,100.0,4,66,7
341,Ready To Move,Nagavara,440.0,3,35.0,3,68,7
342,18-Apr,Yelahanka,1330.0,5,210.0,5,97,2
343,Ready To Move,other,250.0,2,40.0,1,99,7
344,Ready To Move,Margondanahalli,1375.0,5,125.0,5,63,7
345,Ready To Move,Vidyaranyapura,774.0,5,70.0,5,92,7
